City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,dawesville,30.9224,-84.0091,34.26,52,40,1.54,US,1692377938
137,kingston,17.997,-76.7936,32.53,62,20,4.12,JM,1692377916
138,margaret river,-33.95,115.0667,13.9,71,99,2.69,AU,1692377939
139,jamestown,42.097,-79.2353,19.18,59,75,9.26,US,1692377806
140,edmundston,47.3737,-68.3251,20.97,88,100,4.12,CA,1692377701
141,lukolela,-1.0605,17.1821,25.53,69,79,0.5,CD,1692377940
142,rongelap,11.1635,166.8941,28.15,77,94,5.95,MH,1692377941
143,agat village,13.3886,144.6585,28.52,89,0,2.57,GU,1692377941
144,mocajuba,-2.5842,-49.5072,37.94,24,69,2.2,BR,1692377942
145,sao joao da barra,-21.6403,-41.0511,29.05,63,0,6.84,BR,1692377943
146,dodge city,37.7528,-100.0171,27.36,57,36,4.47,US,1692377944
147,tonota,-21.4833,27.4833,23.14,17,1,2.32,BW,1692377944
148,novo aripuana,-5.1206,-60.3797,39.51,22,37,1.43,BR,1692377945
149,new norfolk,-42.7826,147.0587,7.72,92,100,1.83,AU,1692377945
150,usinsk,65.9939,57.5281,7.51,89,100,11.44,RU,1692377906
151,bom jesus,-9.0744,-44.3586,37.08,20,24,3.02,BR,1692377946
152,remuna,21.5261,86.8722,27.3,89,33,1.84,IN,1692377947
153,nouadhibou,20.931,-17.0347,25.99,69,29,9.26,MR,1692377947
154,kismayo,-0.3582,42.5454,25.1,83,36,6.29,SO,1692377912
155,georgetown,5.4112,100.3354,28.97,88,20,1.54,MY,1692377847
156,hasaki,35.7333,140.8333,27.39,87,1,2.47,JP,1692377949
157,el alto,-4.2714,-81.2147,23.81,63,26,7.07,PE,1692377950
158,shimoda,34.6667,138.95,25.61,89,2,3.29,JP,1692377950
159,sinabang,2.4803,96.3801,26.37,82,100,0.94,ID,1692377950
160,port elizabeth,-33.918,25.5701,15.16,72,0,9.26,ZA,1692377951
161,vila velha,-20.3297,-40.2925,28.97,51,20,6.17,BR,1692377666
162,baker city,44.7749,-117.8344,16.84,94,100,2.57,US,1692377668
163,smithers,54.7804,-127.1743,12.18,62,20,3.6,CA,1692377903
164,tambura,5.6,27.4667,26.3,63,38,1.78,SS,1692377953
165,vadso,70.0744,29.7487,12.49,76,75,7.2,NO,1692377954
166,meadow lakes,61.6247,-149.6011,12.04,90,0,1.54,US,1692377955
167,al kharijah,25.4514,30.5464,34.72,19,46,4.76,EG,1692377955
168,fale old settlement,-9.3852,-171.2468,27.89,81,100,8.12,TK,1692377956
169,tamanrasset,22.785,5.5228,24.95,53,40,2.06,DZ,1692377957
170,whitehorse,60.7161,-135.0538,11.17,95,75,1.34,CA,1692377794
171,ambovombe,-25.1667,46.0833,21.37,68,0,0.96,MG,1692377958
172,ta`u,-14.2336,-169.5144,27.4,78,90,8.0,AS,1692377958
173,olonkinbyen,70.9221,-8.7187,6.51,91,100,5.74,SJ,1692377959
174,bodaybo,57.8506,114.1933,10.97,92,100,1.46,RU,1692377960
175,shenjiamen,29.9576,122.298,26.54,85,76,2.84,CN,1692377960
176,bikenibeu village,1.3673,173.1241,26.98,89,75,2.06,KI,1692377961
177,burang,30.25,81.1667,11.93,72,92,2.23,CN,1692377962
178,namibe,-15.1961,12.1522,18.22,80,57,2.02,AO,1692377510
179,illizi,26.4833,8.4667,38.89,11,99,3.35,DZ,1692377962
180,twin falls,42.3505,-114.6445,27.19,36,0,6.69,US,1692377762
181,sosnovo-ozerskoye,52.5249,111.5418,10.08,80,99,6.04,RU,1692377964
182,chui,-33.6971,-53.4616,17.08,93,100,4.3,UY,1692377964
183,st. john's,47.5649,-52.7093,23.21,68,75,4.12,CA,1692377853
184,sydney,-33.8679,151.2073,10.76,59,2,8.75,AU,1692377683
185,hilo,19.7297,-155.09,22.92,95,100,2.57,US,1692377965
186,haiku-pauwela,20.9219,-156.3051,23.47,83,23,2.68,US,1692377966
187,vodnyy,63.5046,53.4095,11.23,60,100,6.19,RU,1692377966
188,sume,-7.6717,-36.88,30.45,40,79,5.14,BR,1692377967
189,cabo san lucas,22.8909,-109.9124,30.84,72,100,1.34,MX,1692377384
190,revda,56.801,59.9303,21.53,65,45,1.61,RU,1692377968
191,ust-nera,64.5667,143.2,13.63,88,100,3.07,RU,1692377968
192,upington,-28.4478,21.2561,17.21,22,0,1.03,ZA,1692377969
193,keflavik,64.0049,-22.5624,17.95,88,75,6.69,IS,1692377970
194,victorica,-36.2151,-65.4359,13.2,20,25,9.43,AR,1692377970
195,kokopo,-4.352,152.2633,24.51,90,95,5.5,PG,1692377971
196,hadibu,12.65,54.0333,25.88,81,12,6.41,YE,1692377972
197,neiafu,-18.65,-173.9833,25.38,94,40,0.0,TO,1692377972
198,nishinoomote,30.7333,131.0,27.09,90,60,5.14,JP,1692377973
199,ryazhsk,53.7038,40.1109,24.72,52,3,2.93,RU,1692377974
200,kavieng,-2.5744,150.7967,26.54,83,90,3.68,PG,1692377974
201,vilyuchinsk,52.9306,158.4028,14.15,95,100,1.93,RU,1692377975
202,tsiombe,-25.3,45.4833,20.64,63,2,1.95,MG,1692377975
203,roma,43.2128,-75.4557,22.75,65,100,6.69,US,1692377811
204,olinda,-8.0089,-34.8553,24.85,94,75,3.09,BR,1692377696
205,weyburn,49.6668,-103.8511,25.12,44,86,4.63,CA,1692377977
206,leava,-14.3,-178.1667,27.73,71,96,4.82,WF,1692377977
207,akjoujt,19.6969,-14.4164,38.1,21,85,2.45,MR,1692377978
208,bassila,9.0081,1.6654,24.99,92,98,3.23,BJ,1692377978
209,san andres,12.5847,-81.7006,24.01,100,40,3.6,CO,1692377179
210,bilibino,68.0546,166.4372,2.68,90,17,1.3,RU,1692377980
211,tashtyp,52.7939,89.8983,9.83,94,69,1.59,RU,1692377980
212,ulaangom,49.9811,92.0667,14.94,50,90,0.95,MN,1692377981
213,doka,13.5167,35.7667,26.93,69,10,2.88,SD,1692377981
214,sinop,41.7711,34.8709,19.85,96,3,0.94,TR,1692377982
215,selsey,50.735,-0.7898,24.63,89,99,3.58,GB,1692377982
216,tosontsengel,48.7567,98.2839,6.77,81,31,0.64,MN,1692377982
217,hami,42.8,93.45,26.36,14,1,3.02,CN,1692377983
218,pisco,-13.7,-76.2167,20.57,71,54,3.84,PE,1692377692
219,juneau,58.3019,-134.4197,11.79,95,100,1.54,US,1692377793
220,virac,13.6333,124.2167,23.07,86,73,1.37,PH,1692377984
221,usogorsk,63.4106,48.6872,10.4,62,91,4.15,RU,1692377985
222,jayapura,-2.5333,140.7,24.66,93,100,1.94,ID,1692377985
223,dunedin,-45.8742,170.5036,7.67,75,60,1.79,NZ,1692377944
224,utrik,11.2278,169.8474,28.5,73,21,7.13,MH,1692377986
225,dongola,19.1667,30.4833,40.55,12,32,4.92,SD,1692377987
226,inhambane,-23.865,35.3833,22.99,88,0,7.72,MZ,1692377987
227,puerto deseado,-47.7503,-65.8938,5.4,92,100,8.99,AR,1692377988
228,pokhara,28.2333,83.9833,23.33,91,91,1.14,NP,1692377988
229,gwanda,-20.9333,29.0,22.22,16,3,2.56,ZW,1692377989
230,trenton,40.217,-74.7429,27.3,62,20,5.66,US,1692377834
231,proletariy,58.4342,31.7046,20.31,67,82,2.22,RU,1692377990
232,tvoroyri,61.5556,-6.8111,11.32,94,4,8.93,FO,1692377990
233,san fernando,15.0286,120.6898,26.85,91,60,1.65,PH,1692377990
234,matsue,35.4722,133.0506,26.0,100,75,0.51,JP,1692377991
235,tukrah,32.5341,20.5791,27.0,73,0,4.82,LY,1692377991
236,conceicao do araguaia,-8.2578,-49.2647,38.66,17,45,2.56,BR,1692377992
237,lensk,60.7253,114.9278,15.3,99,100,1.55,RU,1692377992
238,prince rupert,54.3161,-130.3201,13.83,85,75,3.6,CA,1692377712
239,vernon,50.2581,-119.2691,25.89,34,19,12.96,CA,1692377759
240,sur,22.5667,59.5289,29.8,63,7,6.71,OM,1692377994
241,charters towers,-20.1,146.2667,15.2,38,24,4.66,AU,1692377994
242,lathen,52.8667,7.3167,27.96,65,72,2.06,DE,1692377995
243,karaton,-6.3424,106.1045,21.83,81,17,0.81,ID,1692377995
244,cambria,35.5641,-121.0808,21.95,87,22,1.79,US,1692377996
245,dudinka,69.4058,86.1778,15.9,64,89,1.05,RU,1692377996
246,baise city,23.8997,106.6133,26.0,96,100,0.82,CN,1692377997
247,bossier city,32.516,-93.7321,36.78,40,20,4.63,US,1692377997
248,tanjung pinang,0.9167,104.45,26.02,78,95,4.04,ID,1692377998
249,batie,9.8833,-2.9167,26.95,80,93,2.17,BF,1692377999
250,la ronge,55.1001,-105.2842,15.14,94,100,0.0,CA,1692377999
251,cascais,38.6979,-9.4215,28.75,72,40,5.81,PT,1692378000
252,oranjemund,-28.55,16.4333,13.21,77,100,5.34,NA,1692378000
253,ornskoldsvik,63.2909,18.7153,19.53,68,0,4.12,SE,1692377804
254,alice springs,-23.7,133.8833,12.9,53,0,25.48,AU,1692378002
255,wajir,1.7471,40.0573,30.98,37,20,4.12,KE,1692378003
256,colonia,50.9333,6.95,31.57,55,0,3.09,DE,1692378005
257,pudozh,61.8099,36.5345,13.41,69,71,2.23,RU,1692378020
258,mandera,3.9366,41.867,30.77,31,6,5.35,KE,1692378029
259,qui nhon,13.7667,109.2333,25.58,87,31,1.71,VN,1692378038
260,neya,58.2972,43.8681,18.98,73,22,4.53,RU,1692378047
